id,carat,cut,color,clarity,depth,table,x,y,z,price
13,0.22,Premium,F,SI1,60.4,61.0,3.88,3.84,2.33,342
5,0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75,335
38,0.31,Ideal,J,SI2,62.2,54.0,4.35,4.37,2.71,403
9,0.22,Fair,E,VS2,65.1,61.0,3.87,3.78,2.49,337
4,0.29,Premium,I,VS2,62.4,58.0,4.2,4.23,2.63,334
7,0.24,Very Good,I,VVS1,62.3,57.0,3.95,3.98,2.47,336
42,0.71,Good,F,SI2,64.0,60.0,5.74,5.59,3.62,2759
47,0.7,Ideal,E,SI1,61.1,56.0,5.76,5.73,3.5,2760
48,0.7,Very Good,E,VS2,62.9,58.0,5.66,5.68,3.56,2761
16,0.32,Premium,E,I1,60.9,58.0,4.38,4.42,2.68,345
10,0.23,Very Good,H,VS1,59.4,61.0,4.0,4.05,2.39,338
17,0.3,Ideal,I,SI2,62.0,54.0,4.31,4.34,2.68,348
25,0.31,Very Good,J,SI1,58.1,62.0,4.44,4.47,2.59,353
35,0.23,Very Good,D,VS1,61.9,58.0,3.89,3.93,2.43,357
32,0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42,357
1,0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,326
45,0.7,Very Good,E,VS2,61.0,59.0,5.74,5.77,3.51,2760
28,0.3,Very Good,J,VS2,62.2,57.0,4.28,4.3,2.67,357
34,0.23,Very Good,E,VS1,59.5,58.0,4.01,4.04,2.39,357
6,0.24,Very Good,J,VVS2,62.8,57.0,3.94,3.96,2.48,336
30,0.23,Very Good,F,VS1,60.9,57.0,3.96,3.99,2.42,357
12,0.23,Ideal,J,VS1,62.8,56.0,3.93,3.9,2.46,340
37,0.23,Ideal,J,VS1,62.8,56.0,3.93,3.9,2.46,403
2,0.21,Premium,E,SI1,59.8,61.0,3.89,3.84,2.31,326
22,0.23,Very Good,E,VS2,63.8,55.0,3.85,3.92,2.48,352
3,0.23,Good,E,VS1,56.9,65.0,4.05,4.07,2.31,327
44,0.7,Good,F,VS1,58.1,59.0,5.87,5.81,3.39,2759
36,0.23,Ideal,E,SI1,61.5,55.0,3.95,3.98,2.43,402
24,0.31,Very Good,J,SI1,59.4,62.0,4.39,4.43,2.62,353
41,0.7,Ideal,G,VS2,61.6,56.0,5.7,5.67,3.5,2757
11,0.3,Good,J,SI1,64.0,55.0,4.25,4.28,2.73,339
23,0.23,Very Good,H,VS1,61.0,57.0,3.94,3.96,2.41,353
19,0.3,Good,J,SI1,63.8,56.0,4.23,4.26,2.71,351
50,0.74,Ideal,D,SI2,62.2,55.0,5.83,5.87,3.64,2762
21,0.3,Good,I,SI2,63.3,56.0,4.26,4.3,2.71,351
8,0.26,Very Good,H,SI1,61.9,55.0,4.07,4.11,2.53,337
43,0.78,Very Good,G,SI2,63.8,56.0,5.81,5.85,3.72,2759
15,0.2,Premium,E,SI2,60.2,62.0,3.79,3.75,2.27,345
29,0.23,Very Good,D,VS2,60.5,61.0,3.96,3.97,2.4,357
39,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2757
