iter	Passed	Remaining
0	0	133
1	0	82
2	0	64
3	0	55
4	0	50
5	0	45
6	0	43
7	0	41
8	0	37
9	0	37
10	0	35
11	0	35
12	0	34
13	0	33
14	1	33
15	1	32
16	1	31
17	1	31
18	1	30
19	1	30
20	1	30
21	1	30
22	1	30
23	1	29
24	1	29
25	1	29
26	1	28
27	1	28
28	1	28
29	1	28
30	1	28
31	1	28
32	1	28
33	2	27
34	2	27
35	2	27
36	2	28
37	2	28
38	2	29
39	2	29
40	2	29
41	2	29
42	2	29
43	2	29
44	2	29
45	3	29
46	3	29
47	3	29
48	3	30
49	3	30
50	3	30
51	3	30
52	3	30
53	3	29
54	3	29
55	3	29
56	3	29
57	3	29
58	3	29
59	3	29
60	4	28
61	4	28
62	4	28
63	4	28
64	4	28
65	4	28
66	4	28
67	4	28
68	4	27
69	4	27
70	4	27
71	4	27
72	4	27
73	4	27
74	4	26
75	4	26
76	4	26
77	4	26
78	4	26
79	5	26
80	5	26
81	5	26
82	5	26
83	5	26
84	5	25
85	5	25
86	5	25
87	5	25
88	5	25
89	5	25
90	5	25
91	5	25
92	5	25
93	5	25
94	6	25
95	6	25
96	6	25
97	6	25
98	6	25
99	6	25
100	6	25
101	6	24
102	6	24
103	6	24
104	6	24
105	6	24
106	6	24
107	6	24
108	6	24
109	6	23
110	6	23
111	6	23
112	6	23
113	6	23
114	6	23
115	7	23
116	7	23
117	7	23
118	7	23
119	7	23
120	7	22
121	7	22
122	7	22
123	7	22
124	7	22
125	7	22
126	7	22
127	7	22
128	7	22
129	7	22
130	7	22
131	7	22
132	8	22
133	8	22
134	8	21
135	8	21
136	8	21
137	8	21
138	8	21
139	8	21
140	8	21
141	8	21
142	8	21
143	8	21
144	8	21
145	8	21
146	8	20
147	8	20
148	8	20
149	8	20
150	8	20
151	8	20
152	8	20
153	9	20
154	9	20
155	9	20
156	9	20
157	9	19
158	9	19
159	9	19
160	9	19
161	9	19
162	9	19
163	9	19
164	9	19
165	9	19
166	9	19
167	9	19
168	9	19
169	9	18
170	9	18
171	9	18
172	9	18
173	9	18
174	10	18
175	10	18
176	10	18
177	10	18
178	10	18
179	10	18
180	10	18
181	10	18
182	10	18
183	10	17
184	10	17
185	10	17
186	10	17
187	10	17
188	10	17
189	10	17
190	10	17
191	10	17
192	10	17
193	11	17
194	11	17
195	11	17
196	11	17
197	11	17
198	11	17
199	11	16
200	11	16
201	11	16
202	11	16
203	11	16
204	11	16
205	11	16
206	11	16
207	11	16
208	11	16
209	11	16
210	11	16
211	11	16
212	11	16
213	11	16
214	12	15
215	12	15
216	12	15
217	12	15
218	12	15
219	12	15
220	12	15
221	12	15
222	12	15
223	12	15
224	12	15
225	12	15
226	12	15
227	12	15
228	12	15
229	12	15
230	12	14
231	12	14
232	12	14
233	13	14
234	13	14
235	13	14
236	13	14
237	13	14
238	13	14
239	13	14
240	13	14
241	13	14
242	13	14
243	13	14
244	13	14
245	13	14
246	13	13
247	13	13
248	13	13
249	13	13
250	13	13
251	13	13
252	13	13
253	14	13
254	14	13
255	14	13
256	14	13
257	14	13
258	14	13
259	14	13
260	14	13
261	14	13
262	14	13
263	14	13
264	14	12
265	14	12
266	14	12
267	14	12
268	14	12
269	14	12
270	14	12
271	14	12
272	15	12
273	15	12
274	15	12
275	15	12
276	15	12
277	15	12
278	15	12
279	15	12
280	15	12
281	15	11
282	15	11
283	15	11
284	15	11
285	15	11
286	15	11
287	15	11
288	15	11
289	15	11
290	15	11
291	15	11
292	16	11
293	16	11
294	16	11
295	16	11
296	16	11
297	16	11
298	16	10
299	16	10
300	16	10
301	16	10
302	16	10
303	16	10
304	16	10
305	16	10
306	16	10
307	16	10
308	16	10
309	16	10
310	17	10
311	17	10
312	17	10
313	17	10
314	17	10
315	18	10
316	18	10
317	18	10
318	18	10
319	18	10
320	18	10
321	18	10
322	18	10
323	18	10
324	18	10
325	18	10
326	18	9
327	18	9
328	18	9
329	18	9
330	19	9
331	19	9
332	19	9
333	19	9
334	19	9
335	19	9
336	19	9
337	19	9
338	19	9
339	19	9
340	19	9
341	19	9
342	19	9
343	19	8
344	19	8
345	19	8
346	19	8
347	19	8
348	20	8
349	20	8
350	20	8
351	20	8
352	20	8
353	20	8
354	20	8
355	20	8
356	20	8
357	20	8
358	21	8
359	21	8
360	21	8
361	21	8
362	21	8
363	21	8
364	21	7
365	21	7
366	21	7
367	21	7
368	22	7
369	22	7
370	22	7
371	22	7
372	22	7
373	22	7
374	22	7
375	22	7
376	22	7
377	22	7
378	22	7
379	22	7
380	22	7
381	22	7
382	23	7
383	23	6
384	23	6
385	23	6
386	23	6
387	23	6
388	23	6
389	23	6
390	23	6
391	23	6
392	23	6
393	23	6
394	23	6
395	23	6
396	24	6
397	24	6
398	24	6
399	24	6
400	24	6
401	24	5
402	24	5
403	24	5
404	24	5
405	24	5
406	25	5
407	25	5
408	25	5
409	25	5
410	25	5
411	25	5
412	25	5
413	25	5
414	25	5
415	25	5
416	25	5
417	25	5
418	26	5
419	26	4
420	26	4
421	26	4
422	26	4
423	26	4
424	26	4
425	26	4
426	26	4
427	26	4
428	26	4
429	26	4
430	27	4
431	27	4
432	27	4
433	27	4
434	27	4
435	27	4
436	27	3
437	27	3
438	27	3
439	27	3
440	27	3
441	27	3
442	28	3
443	28	3
444	28	3
445	28	3
446	28	3
447	28	3
448	28	3
449	28	3
450	28	3
451	28	3
452	28	2
453	28	2
454	28	2
455	28	2
456	28	2
457	28	2
458	28	2
459	28	2
460	28	2
461	29	2
462	29	2
463	29	2
464	29	2
465	29	2
466	29	2
467	29	2
468	29	1
469	29	1
470	29	1
471	29	1
472	29	1
473	29	1
474	29	1
475	29	1
476	29	1
477	29	1
478	29	1
479	29	1
480	30	1
481	30	1
482	30	1
483	30	0
484	30	0
485	30	0
486	30	0
487	30	0
488	30	0
489	30	0
490	30	0
491	30	0
492	30	0
493	30	0
494	30	0
495	30	0
496	30	0
497	30	0
498	31	0
499	31	0
