id,carat,cut,color,clarity,depth,table,x,y,z,price
1,0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,326
2,0.21,Premium,E,SI1,59.8,61.0,3.89,3.84,2.31,326
3,0.23,Good,E,VS1,56.9,65.0,4.05,4.07,2.31,327
4,0.29,Premium,I,VS2,62.4,58.0,4.20,4.23,2.63,334
5,0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75,335
6,0.24,Very Good,J,VVS2,62.8,57.0,3.94,3.96,2.48,336
7,0.24,Very Good,I,VVS1,62.3,57.0,3.95,3.98,2.47,336
8,0.26,Very Good,H,SI1,61.9,55.0,4.07,4.11,2.53,337
9,0.22,Fair,E,VS2,65.1,61.0,3.87,3.78,2.49,337
10,0.23,Very Good,H,VS1,59.4,61.0,4.00,4.05,2.39,338
11,0.30,Good,J,SI1,64.0,55.0,4.25,4.28,2.73,339
12,0.23,Ideal,J,VS1,62.8,56.0,3.93,3.90,2.46,340
13,0.22,Premium,F,SI1,60.4,61.0,3.88,3.84,2.33,342
14,0.31,Ideal,J,SI2,62.2,54.0,4.35,4.37,2.71,344
15,0.20,Premium,E,SI2,60.2,62.0,3.79,3.75,2.27,345
16,0.32,Premium,E,I1,60.9,58.0,4.38,4.42,2.68,345
17,0.30,Ideal,I,SI2,62.0,54.0,4.31,4.34,2.68,348
18,0.30,Good,J,SI1,63.4,54.0,4.24,4.29,2.70,351
19,0.30,Good,J,SI1,63.8,56.0,4.23,4.26,2.71,351
20,0.30,Very Good,J,SI1,62.7,59.0,4.21,4.27,2.66,351
21,0.30,Good,I,SI2,63.3,56.0,4.26,4.30,2.71,351
22,0.23,Very Good,E,VS2,63.8,55.0,3.85,3.92,2.48,352
23,0.23,Very Good,H,VS1,61.0,57.0,3.94,3.96,2.41,353
24,0.31,Very Good,J,SI1,59.4,62.0,4.39,4.43,2.62,353
25,0.31,Very Good,J,SI1,58.1,62.0,4.44,4.47,2.59,353
26,0.23,Very Good,G,VVS2,60.4,58.0,3.97,4.01,2.41,354
27,0.24,Premium,I,VS1,62.5,57.0,3.97,3.94,2.47,355
28,0.30,Very Good,J,VS2,62.2,57.0,4.28,4.30,2.67,357
29,0.23,Very Good,D,VS2,60.5,61.0,3.96,3.97,2.40,357
30,0.23,Very Good,F,VS1,60.9,57.0,3.96,3.99,2.42,357
31,0.23,Very Good,F,VS1,60.0,57.0,4.00,4.03,2.41,357
32,0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42,357
33,0.23,Very Good,E,VS1,60.7,59.0,3.96,3.98,2.41,357
34,0.23,Very Good,E,VS1,59.5,58.0,4.01,4.04,2.39,357
35,0.23,Very Good,D,VS1,61.9,58.0,3.89,3.93,2.43,357
36,0.23,Ideal,E,SI1,61.5,55.0,3.95,3.98,2.43,402
37,0.23,Ideal,J,VS1,62.8,56.0,3.93,3.90,2.46,403
38,0.31,Ideal,J,SI2,62.2,54.0,4.35,4.37,2.71,403
39,0.70,Ideal,E,SI1,62.5,57.0,5.70,5.72,3.57,2757
40,0.86,Fair,E,SI2,55.1,69.0,6.45,6.33,3.52,2757
41,0.70,Ideal,G,VS2,61.6,56.0,5.70,5.67,3.50,2757
42,0.71,Good,F,SI2,64.0,60.0,5.74,5.59,3.62,2759
43,0.78,Very Good,G,SI2,63.8,56.0,5.81,5.85,3.72,2759
44,0.70,Good,F,VS1,58.1,59.0,5.87,5.81,3.39,2759
45,0.70,Very Good,E,VS2,61.0,59.0,5.74,5.77,3.51,2760
46,0.70,Very Good,E,VS2,62.8,60.0,5.66,5.68,3.56,2760
47,0.70,Ideal,E,SI1,61.1,56.0,5.76,5.73,3.50,2760
48,0.70,Very Good,E,VS2,62.9,58.0,5.66,5.68,3.56,2761
49,0.71,Very Good,E,SI1,62.4,57.0,5.71,5.76,3.58,2762
50,0.74,Ideal,D,SI2,62.2,55.0,5.83,5.87,3.64,2762
